abilitet	ability
abolera	abolish
abort	miscarriage
abort	abortion
absens	absence
absent	absent
absolutist	teetotaller
absolutt	absolutely
abstrakt	abstract
absurd	absurd
adapta	adapt
adapter	adaptor
adekvat	adequate
adera	add
aderad	added
adisjon	addition
adisjonal	additional
adjektiv	adjective
administrasjon	management
administrasjon	administration
administrativ	administrative
administrera	administer
admira	admire
admiral	admiral
admirasjon	admiration
admisjon	admission
admisjon	admittance
admita	admit
adoptera	adopt
adress/a	address
adressat	addressee
adverb	adverb
advis	advice
advisa	advise
advokat	barrister
advokat	attorney
advokat/a	advocate
advokatt	lawyer
af	off
afeksjon, tilgivenhet	affection
afeksjonatt, tilgiven	affectionate
afekta, beröra	affect
afektad/pretensjös	affected
aferar	Affairs
afholda sej fron	abstain from
afirmativ	affirmative
afliksjon	affliction
aften, kvel	evening
agent	agent
agreja	agree
agrejment	concurrence
agresiv	aggressive
agurk	cucumber
aids	AIDS
akademi	academy
akademisk	academic
akomodasjon	accommodation
akomodera	accommodate
akompagnera	accompany
akordans, enlighet	accordance
aksel	axle
akselera	accelerate
aksent	accent
akseptera	accept
aksepterad	accepted
aksesible, tilgonglig	accessible
aksesoriar	accessories
aksidentell	accidental
aksjon	action
aksjonar	actions
akting	Acting
aktitud	attitude
aktiv	active
aktivitet	activity
aktivitetar	activities
aktor	actor
aktorinne	actress
akuratt	accurate
akutt	acute
akvarell	watercolor
ala/helt	all
alarm/era	alarm
albue	elbow
album	album
alder	age
alderdom	old age
aldrig	never
alene	alone
alergi	allergy
alfabet	alphabet
algebra	algebra
alians	alliance
aliera	ally (v)
alieradar	allies
alimoni	alimony
alkohol	alcohol
alkoholholdig	alcoholic
allej	alley
allergisk	allergic
alm	elm
almanakk	almanac
almen, publik/publikum	public (a/n)
almen/vanlig	common
Almenia	Almenia
almensk/almensker	Almenian
alsidig	all-round
alternativ	alternative
altfor/osso	too
altid	ever
altid	always
alting, alt	Everything
alto	alto
altso	consequently
alvor	earnest
ambasadd	embassy
ambasadör	ambassador
ambisjiös	ambitious
ambrasa	embrace
ambulans	ambulance
amerika	America
amerikanar	Americans
amerikansk/amerikan	American
ametist	amethyst
amnesti	amnesty
amusa	amuse
amusant	amusing
amuselse	amusement
analfabet	illiterate
analisa	analysis
analise	analysis
analisera	analyse
analitiker	analyst
anan/andra	other (a/n)
ananar	others
ananas	pineapple
anarki	anarchy
anarkisme	anarchism
anarkist	anarchist
anatomi	anatomy
and	duck
ande, spiritus, humör,	spirit
andelig, spirituell	spiritual
andra/sekund	second
aneks/anektera	annex
anemi	anaemia
anemia, blodbrist	anemia
anemik	anemic
anestesia	anesthesia
anestetikk	anesthetic
anetsteds	elsewhere
angrep/-a	raid (n/v)
animal	animal
animalar	animals
aniversari, orsdag	anniversary
ankel	ankle
anker	anchor
anklaga	accuse
anklagad	accused
ankomad, arivad	arrived
anoda	anode
anonium	anonymous
anonse	advertisement
ansattar	employees
anselig	conspicuous
ansetta	engage
ansetta	employ
ansikt/konfrontera	face (n/v)
ansiktar	faces
ansiktskrem	face-cream
ansiktsmaske	face-pack
ansiktspuder	face-powder
ansiktsservett, neseduk	tissue (facial)
ansjantande	enchanting
ansjos	anchovy
anslutad	affiliated
anstendig	decent
anstendighet	decency
anstrengelsar, efortar	efforts
anstrengna	strain (v)
anstrengning, effort	effort
anstrengning, tipe	strain (n)
ansvarlig	accountable
ansvarlig	liable
antena	aerial
antibiotikum	antibiotic
antikk	antique
antiseptikum/antiseptisk	antiseptic
antisipera, forutsea	anticipate
antiuda, innebera	imply
antologi	anthology
